★更新日期★,#genre#
2026-09-02-22:47,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
📺央视频道,#genre#
CCTV-1 综合,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8$A_1_[★]
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8$A_2_[★]
CCTV-1 综合,http://173.208.212.130:8181/1080p/cctv1.m3u8$A_3_[★]
CCTV-1 综合,http://173.208.212.130:8181/720p/cctv1.m3u8$A_4_[★]
CCTV-1 综合,http://204.12.221.218:8181/3m1080p/cctv1.m3u8$A_5_[★]
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$A_6_[★]
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$A_7_[★]
CCTV-1 综合,http://198.204.228.26/live/cctv1hd.m3u8$A_8_[★]
CCTV-1 综合,http://107.150.60.122/live/cctv1hd.m3u8$A_9_[★]
CCTV-1 综合,http://go.bkpcp.top/mg/cctv1$A_10_[★]
CCTV-1 综合,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$A_11_[★]
CCTV-1 综合,http://t.061899.xyz/tl/tl.php?id=cctv1$A_12_[★]
CCTV-1 综合,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$A_13_[★]
CCTV-1 综合,http://2280.eu.org:1234/608807420$A_14_[★]
CCTV-1 综合,http://59.110.175.70:10000/608807420$A_15_[★]
CCTV-1 综合,http://222.134.19.49:8090/608807420$A_16_[★]
CCTV-1 综合,http://129.150.55.255:31905/608807420$A_17_[★]
CCTV-1 综合,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33$A_18_[★]
CCTV-1 综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$A_19_[★]
CCTV-1 综合,http://k.061899.xyz/k.php?id=cctv1$A_20_[★]
CCTV-1 综合,http://j.s.bkpcp.top/jj/cctv1$A_21_[★]
CCTV-1 综合,https://live.chinacert.cftest5.cn/cnmg/live/608807420$A_22_[★]
CCTV-1 综合,https://live.chinacert.cftest5.cn/mg/?id=608807420$A_23_[★]
CCTV-1 综合,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$A_24_[★]
CCTV-1 综合,http://m.061899.xyz/mg/cctv1$A_25_[★]
CCTV-1 综合,http://x1x.bid:5146/rtp/239.3.1.129:8008$A_26_[★]
CCTV-1 综合,http://111.228.4.117:6789/migu720p.php?id=608807420$A_27_[★]
CCTV-1 综合,http://hiliu.myds.me:18088/rtp/239.254.96.96:8550$A_28_[★]
CCTV-1 综合,http://58.56.162.102:4466/newlive/live/hls/1/live.m3u8$A_29_[★]
CCTV-1 综合,http://server.juzhijian.com:8822/rtp/239.16.20.1:10010$A_30_[★]
CCTV-1 综合,http://nas.lyfkai.cn:19999/rtp/239.254.96.96:8550$A_31_[★]
CCTV-1 综合,http://emby.xlangnan.cn:10316/rtp/239.254.200.45:8008$A_32_[★]
CCTV-1 综合,http://www.huijie5421.cn:8800/rtp/239.49.8.19:9614$A_33_[★]
CCTV-1 综合,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$A_34_[★]
CCTV-1 综合,http://liuwenxiaokevin.top:14044/rtp/233.18.204.52:5140$A_35_[★]
